id,name,active
caso_enq_liberdade_sexual,Crimes contra liberdade sexual,1
caso_enq_violencia_domestica,Violência doméstica,1
caso_enq_proteccao_crianca,Protecção da criança,1
caso_enq_liberdade_pessoal,Crimes contra a liberdade pessoal,1
caso_enq_trafico_pessoas,Crime do tráfico de pessoas,1
caso_enq_direito_educacao,Direito à educação,1
caso_enq_saude_crianca,Saúde da criança,1
caso_enq_saude_mental,Saúde mental,1
caso_enq_direito_familia,Direito da família,1
caso_enq_direitos_crianca,Direitos da criança,1
caso_enq_inclusao_social,Inclusão social,1
