id,name,area_type
linhafala.caso.referencearea_1,SRQ,Institucional
linhafala.caso.referencearea_2,PRM,Institucional
linhafala.caso.referencearea_3,Saúde,Institucional
linhafala.caso.referencearea_4,Justiça,Institucional
linhafala.caso.referencearea_5,Educação,Institucional
linhafala.caso.referencearea_6,Acção Social,Institucional
linhafala.caso.referencearea_7,Trabalho e Emprego,Institucional
linhafala.caso.referencearea_8,Organização da Sociedade Civil,Institucional
linhafala.caso.referencearea_9,Outros,Institucional


linhafala.caso.referencearea_10,Familia,Não Institucional
linhafala.caso.referencearea_11,Líder Religioso,Não Institucional
linhafala.caso.referencearea_12,Tribunal Comunitário,Não Institucional
linhafala.caso.referencearea_13,Líder Comunitário,Não Institucional
linhafala.caso.referencearea_14,Estruturas do Bairro,Não Institucional
linhafala.caso.referencearea_15,Organização da Sociedade Civil,Não Institucional
linhafala.caso.referencearea_16,Organização de base Comunitário,Não Institucional
linhafala.caso.referencearea_17,Comité Comunitário de Proteção a Criança,Não Institucional
linhafala.caso.referencearea_18,Outros,Não Institucional
