id,name,classificacao_id:id,subcategoria_auto_id:id,area_id:id,categoria_juridica_id:id,enquadramento_id:id,active
caso_tipo_violacao_sexual,Sexual,caso_classif_violacao,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_violacao_actos_12,Actos sexuais com menor de 12 anos,caso_classif_violacao,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_violacao_actos_12_16,Actos sexuais com menor de 12 a 16 anos,caso_classif_violacao,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_assedio_presencial_escolar,Presencial (Contexto escolar),caso_classif_assedio_sexual,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_assedio_online_escolar,Online (Contexto escolar),caso_classif_assedio_sexual,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_assedio_presencial_nao_escolar,Presencial (Contexto não escolar),caso_classif_assedio_sexual,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_assedio_online_nao_escolar,Online (Contexto não escolar),caso_classif_assedio_sexual,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_abuso_humanitario,Contexto Humanitário,caso_classif_abuso_sexual,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_exploracao_comercial,Comercial,caso_classif_exploracao_sexual,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_exploracao_nao_comercial,Não comercial,caso_classif_exploracao_sexual,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_lenocinio,Lenocínio (aliciamento),caso_classif_lenocinio,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_pornografia,Utilização de menor em pornografia,caso_classif_pornografia,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_corrupcao_menores,Corrupção de menores,caso_classif_corrupcao_menores,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_partilha_imagens,Partilha não consentida de imagens íntimas,caso_classif_partilha_imagens,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_aliciamento_online,Aliciamento online de menores,caso_classif_aliciamento_online,caso_subcat_violencia_sexual,caso_area_vso,caso_catjur_criminal,caso_enq_liberdade_sexual,1
caso_tipo_violencia_fisica_simples,Simples,caso_classif_violencia_fisica,caso_subcat_violencia_fisica,caso_area_protecao_social,caso_catjur_outra,caso_enq_violencia_domestica,1
caso_tipo_violencia_fisica_grave,Grave,caso_classif_violencia_fisica,caso_subcat_violencia_fisica,caso_area_protecao_social,caso_catjur_outra,caso_enq_violencia_domestica,1
caso_tipo_violencia_psic_ameacas,Ameaças,caso_classif_violencia_psicologica,caso_subcat_violencia_psicologica,caso_area_protecao_social,caso_catjur_criminal,caso_enq_violencia_domestica,1
caso_tipo_violencia_psic_injuria,Injúria,caso_classif_violencia_psicologica,caso_subcat_violencia_psicologica,caso_area_protecao_social,caso_catjur_criminal,caso_enq_violencia_domestica,1
caso_tipo_violencia_psic_coaccao,Coacção,caso_classif_violencia_psicologica,caso_subcat_violencia_psicologica,caso_area_protecao_social,caso_catjur_criminal,caso_enq_violencia_domestica,1
caso_tipo_violencia_psic_intimidacao,Intimidação,caso_classif_violencia_psicologica,caso_subcat_violencia_psicologica,caso_area_protecao_social,caso_catjur_criminal,caso_enq_violencia_domestica,1
caso_tipo_violencia_psic_humilhacao,Humilhação,caso_classif_violencia_psicologica,caso_subcat_violencia_psicologica,caso_area_protecao_social,caso_catjur_criminal,caso_enq_violencia_domestica,1
caso_tipo_violencia_patrimonial,Violência patrimonial,caso_classif_violencia_patrimonial,caso_subcat_violencia_economica,caso_area_protecao_social,caso_catjur_outra,caso_enq_violencia_domestica,1
caso_tipo_negligencia_cuidados,Falha cuidados básicos,caso_classif_negligencia,caso_subcat_negligencia,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_negligencia_supervisao,Falta de supervisão,caso_classif_negligencia,caso_subcat_negligencia,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_negligencia_medica,Falha no acesso à medicina,caso_classif_negligencia,caso_subcat_negligencia,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_negligencia_proteccao,Omissão de protecção,caso_classif_negligencia,caso_subcat_negligencia,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_negligencia_risco,Exposição a situação de risco,caso_classif_negligencia,caso_subcat_negligencia,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_abandono_incapaz,Abandono de incapaz,caso_classif_abandono_incapaz,caso_subcat_negligencia,caso_area_protecao_social,caso_catjur_criminal,caso_enq_proteccao_crianca,1
caso_tipo_rapto_suspeita,Suspeita,caso_classif_rapto,caso_subcat_rapto,caso_area_criminal,caso_catjur_criminal,caso_enq_liberdade_pessoal,1
caso_tipo_rapto_confirmado,Confirmado,caso_classif_rapto,caso_subcat_rapto,caso_area_criminal,caso_catjur_criminal,caso_enq_liberdade_pessoal,1
caso_tipo_trafico_suspeita,Suspeita,caso_classif_trafico,caso_subcat_trafico,caso_area_criminal,caso_catjur_criminal,caso_enq_trafico_pessoas,1
caso_tipo_trafico_confirmado,Confirmado,caso_classif_trafico,caso_subcat_trafico,caso_area_criminal,caso_catjur_criminal,caso_enq_trafico_pessoas,1
caso_tipo_trabalho_perigoso,Trabalho perigoso,caso_classif_trabalho_infantil,caso_subcat_exploracao_economica,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_trabalho_prejudicial,Trabalho prejudicial,caso_classif_trabalho_infantil,caso_subcat_exploracao_economica,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_crianca_vive_rua,Vive na rua,caso_classif_crianca_rua,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_crianca_trabalha_rua,Trabalha na rua,caso_classif_crianca_rua,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_crianca_deslocada,Criança deslocada,caso_classif_crianca_deslocada,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_cov_orfandade,Orfandade,caso_classif_crianca_vulneravel,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_cov_abandono,Situação de abandono,caso_classif_crianca_vulneravel,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_cov_pobreza,Pobreza extrema,caso_classif_crianca_vulneravel,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_cov_doenca,Doença crónica / HIV,caso_classif_crianca_vulneravel,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_cov_risco_social,Exposição a risco social,caso_classif_crianca_vulneravel,caso_subcat_vulnerabilidade,caso_area_protecao_social,caso_catjur_outra,caso_enq_proteccao_crianca,1
caso_tipo_edu_abandono,Abandono escolar,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_fora_escola,Criança fora da escola,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_falta_regras,Falta de regras escolar,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_exclusao,Exclusão escolar,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_expulsao,Expulsão,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_propinas,Incapacidade de pagamento de propinas,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_material,Necessitam de material escolar,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_material_gratuito,Constrangimento individuo ao material escolar gratuito,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_edu_discriminacao,Incidente discriminar em contexto escolar,caso_classif_acesso_educacao,caso_subcat_acesso_educacao,caso_area_educacao,caso_catjur_civil,caso_enq_direito_educacao,1
caso_tipo_gravidez_precoce,Gravidez precoce,caso_classif_gravidez_precoce,caso_subcat_saude_sexual,caso_area_saude,caso_catjur_outra,caso_enq_saude_crianca,1
caso_tipo_consumo_alcool,Álcool,caso_classif_consumo_drogas,caso_subcat_saude,caso_area_saude,caso_catjur_outra,caso_enq_saude_crianca,1
caso_tipo_consumo_drogas,Drogas,caso_classif_consumo_drogas,caso_subcat_saude,caso_area_saude,caso_catjur_outra,caso_enq_saude_crianca,1
caso_tipo_suicidio_pensamentos,Pensamentos suicidas,caso_classif_suicidio,caso_subcat_saude_mental,caso_area_saude_mental,caso_catjur_outra,caso_enq_saude_mental,1
caso_tipo_suicidio_tentativa,Tentativa de suicídio,caso_classif_suicidio,caso_subcat_saude_mental,caso_area_saude_mental,caso_catjur_outra,caso_enq_saude_mental,1
caso_tipo_suicidio_consumado,Suicídio consumado,caso_classif_suicidio,caso_subcat_saude_mental,caso_area_saude_mental,caso_catjur_outra,caso_enq_saude_mental,1
caso_tipo_pensao_alimentos,Fixação de pensão de alimentos,caso_classif_pensao_alimentos,caso_subcat_direitos_crianca,caso_area_direitos_familia,caso_catjur_civil,caso_enq_direito_familia,1
caso_tipo_poder_parental,Regulação do poder parental,caso_classif_poder_parental,caso_subcat_responsabilidade_parental,caso_area_direitos_familia,caso_catjur_civil,caso_enq_direito_familia,1
caso_tipo_impugnacao_paternidade,Impugnação de paternidade,caso_classif_impugnacao_paternidade,caso_subcat_filiacao,caso_area_direitos_familia,caso_catjur_civil,caso_enq_direito_familia,1
caso_tipo_recusa_perfilhacao,Recusa de perfilhação,caso_classif_recusa_perfilhacao,caso_subcat_filiacao,caso_area_direitos_familia,caso_catjur_civil,caso_enq_direito_familia,1
caso_tipo_registo_nascimento,Falta de registo de nascimento,caso_classif_registo_nascimento,caso_subcat_identidade,caso_area_direitos_familia,caso_catjur_civil,caso_enq_direito_familia,1
caso_tipo_discriminacao_genero,Baseada no género,caso_classif_discriminacao,caso_subcat_violacao_direitos,caso_area_protecao_social,caso_catjur_outra,caso_enq_direitos_crianca,1
caso_tipo_discriminacao_deficiencia,Baseada na deficiência,caso_classif_discriminacao,caso_subcat_violacao_direitos,caso_area_protecao_social,caso_catjur_outra,caso_enq_direitos_crianca,1
caso_tipo_discriminacao_social,Baseada na condição social,caso_classif_discriminacao,caso_subcat_violacao_direitos,caso_area_protecao_social,caso_catjur_outra,caso_enq_direitos_crianca,1
caso_tipo_discriminacao_saude,Baseada no estado de saúde,caso_classif_discriminacao,caso_subcat_violacao_direitos,caso_area_protecao_social,caso_catjur_outra,caso_enq_direitos_crianca,1
caso_tipo_def_visual,Criança com deficiência visual,caso_classif_crianca_deficiencia,caso_subcat_necessidades_especiais,caso_area_deficiencia,caso_catjur_outra,caso_enq_inclusao_social,1
caso_tipo_def_auditiva,Criança com deficiência auditiva,caso_classif_crianca_deficiencia,caso_subcat_necessidades_especiais,caso_area_deficiencia,caso_catjur_outra,caso_enq_inclusao_social,1
caso_tipo_def_fisica,Criança com deficiência física,caso_classif_crianca_deficiencia,caso_subcat_necessidades_especiais,caso_area_deficiencia,caso_catjur_outra,caso_enq_inclusao_social,1
caso_tipo_def_intelectual,Criança com deficiência intelectual,caso_classif_crianca_deficiencia,caso_subcat_necessidades_especiais,caso_area_deficiencia,caso_catjur_outra,caso_enq_inclusao_social,1
caso_tipo_def_psicossocial,Criança com deficiência psicossocial,caso_classif_crianca_deficiencia,caso_subcat_necessidades_especiais,caso_area_deficiencia,caso_catjur_outra,caso_enq_inclusao_social,1
