id,name,parent_category
linhafala_chamada_assistance_subcategoria_1,Aglomerações,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_2,Falta do uso de mascara,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_3,Prevenção,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_4,Reclamação sobre mau  atendimento,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_5,Informação sobre Sintomas,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_6,Testagem,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_7,Tratamento,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_8,Vacinação,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_9,Espaço temporal /Horário de func.,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_10,Necessidade de medicação,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_11,Necessidade de mantimento,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_12,Informação geral sobre coronavírus,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_13,Reclamação sobre sinais de corrupção,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_14,Reclamação sobre desvios,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_15,Informação sobre Orientação e Serviços,Informação sobre Covid-19
linhafala_chamada_assistance_subcategoria_16,Sexta básica,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_17,Assistência psiquiátrica,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_18,Terapia,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_19,Saúde,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_20,Necessidade de abrigo/tenda,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_21,Reunificação familiar,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_22,Inclusão social,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_23,Necessidade de medicação,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_24,Criança vivendo na pobreza,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_25,Criança chefe de família,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_26,Outras assistências,Assistência Psico-social
linhafala_chamada_assistance_subcategoria_27,Sintomas,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_28,Tratamento,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_29,Vacinação,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_30,Espaço temporal /Horário de funci.,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_31,Reclamação sobre desvios,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_32,Informação sobre Orientação e Serviços,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_33,Informação geral sobre emergência,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_34,Necessidade de abrigo/tenda,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_35,Reclamação sobre sinais de corrupção,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_36,Solicitação de Assistência alimentar,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_37,Documentação,Emergência/Mudanças Climáticas
