id,name,provincia
linhafala_distrito_1,Cidade de Pemba,Cabo Delgado
linhafala_distrito_2,Boane,Maputo Provincia
linhafala_distrito_3,Magude,Maputo Provincia
linhafala_distrito_4,Manhiça,Maputo Provincia
linhafala_distrito_5,Marracuene,Maputo Provincia
linhafala_distrito_6,Matutuine,Maputo Provincia
linhafala_distrito_7,Moamba,Maputo Provincia
linhafala_distrito_8,Namaacha,Maputo Provincia
linhafala_distrito_9,Cidade Da Matola,Maputo Provincia
linhafala_distrito_10,Angonia,Tete
linhafala_distrito_11,Cahora Bassa,Tete
linhafala_distrito_12,Moatize,Tete
linhafala_distrito_13,Mutarara,Tete
linhafala_distrito_14,Changara,Tete
linhafala_distrito_15,Chifunde,Tete
linhafala_distrito_16,Chiuta,Tete
linhafala_distrito_17,Macanga,Tete
linhafala_distrito_18,Magoe,Tete
linhafala_distrito_19,Maravia,Tete
linhafala_distrito_20,Tsangano,Tete
linhafala_distrito_21,Zumbu,Tete
linhafala_distrito_22,Doa,Tete
linhafala_distrito_23,Marara,Tete
linhafala_distrito_24,Cidade De Tete,Tete
linhafala_distrito_25,Angoche,Nampula
linhafala_distrito_26,Nampa-Errati,Nampula
linhafala_distrito_27,Ilha De Moçambique,Nampula
linhafala_distrito_28,Lalaua,Nampula
linhafala_distrito_29,Malema,Nampula
linhafala_distrito_30,Meconta,Nampula
linhafala_distrito_31,Mecuburi,Nampula
linhafala_distrito_32,Memba,Nampula
linhafala_distrito_33,Mogincual,Nampula
linhafala_distrito_34,Mogovolas,Nampula
linhafala_distrito_35,Moma,Nampula
linhafala_distrito_36,Monapo,Nampula
linhafala_distrito_37,Mossuril,Nampula
linhafala_distrito_38,Muecate,Nampula
linhafala_distrito_39,Murrupula,Nampula
linhafala_distrito_40,Nacala,Nampula
linhafala_distrito_41,Nacala-A-Velha,Nampula
linhafala_distrito_42,Nacaroa,Nampula
linhafala_distrito_43,Rapale,Nampula
linhafala_distrito_44,Ribaue,Nampula
linhafala_distrito_45,Larde,Nampula
linhafala_distrito_46,Liúpo,Nampula
linhafala_distrito_47,Nampula-Distrito,Nampula
